item,kz,ru
Q01,Заң талаптарына сәйкестік пен ішкі өндірістік тәртіп арасындағы қайшылық,Конфликт между юридической допустимостью и внутренней производственной дисциплиной
Q02,Тақырып дұрыс емес: жануарларда шектен тыс дозада тек корреляция ғана анықталған,Заголовок некорректен: найдена лишь корреляция при экстремальных дозах у животных
Q03,"Жаңа әдістерді енгізіңіз, бірақ ескіні ойланбай жоққа шығармаңыз","Внедряйте новое, но не отказывайтесь от старого бездумно"
Q04,"Екінші анықтама неғұрлым іргелі, себебі ол тек сулы ерітінділермен шектелмейді","Второе определение более фундаментально, так как не ограничивается водными растворами"
Q05,"Сыни ойлау — бұл бөлек жаттығу емес, материалмен жұмыс істеудің тұрақты тәсілі","Критическое мышление — это постоянный способ работы с материалом, а не отдельное упражнение"
Q06,Екі үдерісті көрсету: ұзақ мерзімді өсу және маусымдық ауытқулар,Демонстрация двух процессов: долгосрочного роста и сезонных колебаний
Q07,Ықтимал келісім белгіленген: аз көлеммен қысқа уақыттық операцияларды шкафтан тыс орындауға болады,Установлен компромисс: краткие операции с малыми объемами допустимы вне шкафа
Q08,"2-әдіс тиімдірек, себебі атомдық деңгейде қалдықтарды барынша азайтады","Способ 2 предпочтительнее, так как минимизирует отходы на атомном уровне"
Q09,"1 атм қысымда құрғақ мұз қыздырылғанда сұйық фазаны айналып өтіп, бірден газға айналады","При 1 атм сухой лед при нагревании сразу переходит в газ, минуя жидкую фазу"
Q10,Автокөліктің жалғыз зияны — пайдалану кезінде тікелей шығарындылары,Единственный вред автомобиля — прямые выбросы при эксплуатации
Q11,3–5 жыл ішінде үнемделетін сома бастапқы инвестициядан артық болады,Сэкономленные суммы за 3-5 лет превысят начальные инвестиции
Q12,"Мәлімдеме қайшылықты, өйткені барлық ингредиенттер (соның ішінде су) – химиялық заттар","Заявление противоречиво, так как все ингредиенты (включая воду) - химические вещества"
Q13,"Ғылымды тек ақиқаттар жиынтығы емес, гипотезаларды жоққа шығару процесі ретінде түсінуге мүмкіндік береді","Позволяет понять науку как процесс опровержения гипотез, а не набор истин"
Q14,Корреляцияны себеп-салдар байланысы деп қабылдау,Принятие корреляции за причинно-следственную связь
Q15,«Дәлдік» пен «қайталанымдылық» ұғымдарын шатастыру,Путаница понятий «точность» и «воспроизводимость»
Q16,Биопластик барлық жерде ыдырайды (шындығында өнеркәсіптік жағдайлар қажет),Биопластик разлагается везде (в реальности нужны промышленные условия)
Q18,"Тараптардың субъективтілігін түсініп, сарапшының ұстанымын осы кезеңде дұрыс деп қабылдау",Осознать предвзятость сторон и признать позицию эксперта верной на данном этапе
Q19,«Аллотропиялық модификациялар» мен «изотоптарды» шатастыру,Смешение понятий «аллотропные модификации» и «изотопы»
Q20,"Ғылымның міндеті – гипотезаларды тексеру, дайын пікірді дәлелдеу емес","Задача науки — проверять гипотезы, а не искать доказательства готовому мнению"
Q21,Қорқынышқа сүйену: ғылыми атауларды қорқынышты етіп көрсету,Апелляция к страху: использование научных названий как пугающих
Q22,"Бұл негізгі принцип («доза-әсер»), оның ішінде спецификалық және кумулятивтік факторларды ескеру қажет","Это фундаментальный принцип («доза-эффект»), требующий учета факторов специфичности и кумуляции"
Q23,Дереккөз А ең жоғары деңгейдегі дәлелділікке ие,Источник А обладает высшим уровнем доказательности
Q24,«LifeChem» артықшылықты: тазалық қауіпсіздікке және тәжірибелердің нәтижесіне әсер етеді,Предпочтителен «LifeChem»: чистота влияет на безопасность и результаты опытов
Q26,Аргумент логикалық тұрғыдан үйлеспейді,Аргумент логически несостоятелен
Q27,Екі аргумент те өнімнің өмірлік циклінің тек бір бөлігін қамтиды,Оба аргумента фиксируют лишь часть жизненного цикла продукта
Q28,"Қорытынды қате, себебі біржақты бақылау ерекше метеожағдайларда жүйелі мәселені жоққа шығару үшін негіз бола алмайды","Вывод ошибочен, так как единичное наблюдение в специфических метеоусловиях не может служить основанием для опровержения"
Q29,Басымдық — ғылыми негізделген эксперттің ескертуіне,"Приоритет отдается предупреждению эксперта, основанному на науке"
